🕘️更新时间,#genre#
2025-11-03 19:03:48,http://27.41.245.32:801/hls/1/index.m3u8

📺央视频道,#genre#
CCTV-1,http://27.41.245.32:801/hls/1/index.m3u8
CCTV-1,https://httop.top/hrtn-cctv1
CCTV-1,http://183.220.107.138:4022/rtp/239.11.0.65:5140
CCTV-1,http://121.29.141.15:4022/rtp/239.253.92.83:8012
CCTV-1,http://113.25.105.156:10000/rtp/239.1.1.7:8007
CCTV-1,http://118.79.12.65:6001/rtp/226.0.2.153:9136
CCTV-1,http://118.79.12.62:6000/rtp/226.0.2.153:9136
CCTV-1,http://61.134.253.35:8001/rtp/226.0.1.157:3086
CCTV-1,http://59.173.120.39:4022/rtp/239.254.96.96:8550
CCTV-1,http://60.223.72.127:8001/rtp/226.0.1.157:3086
CCTV-2,http://1.24.39.180:808/hls/2/index.m3u8
CCTV-2,https://httop.top/hrtn-cctv2
CCTV-2,http://183.220.107.138:4022/rtp/239.11.0.108:5140
CCTV-2,http://121.29.141.15:4022/rtp/239.253.92.190:6065
CCTV-2,http://61.134.253.35:8003/rtp/226.0.1.158:3087
CCTV-2,http://60.223.72.127:8001/rtp/226.0.1.158:3087
CCTV-2,http://116.179.149.157:6000/rtp/226.0.2.154:9144
CCTV-2,http://59.173.120.39:4022/rtp/239.69.1.102:10250
CCTV-2,http://171.116.216.113:10010/rtp/226.0.1.158:3087
CCTV-2,http://118.79.12.62:6001/rtp/226.0.1.158:3087
CCTV-3,http://27.41.245.32:801/hls/3/index.m3u8
CCTV-3,https://httop.top/hrtn-cctv3
CCTV-3,http://183.220.107.138:4022/rtp/239.11.0.101:5140
CCTV-3,http://121.29.141.15:4022/rtp/239.253.92.191:6057
CCTV-3,http://118.79.12.65:6000/rtp/226.0.1.141:2018
CCTV-3,http://61.134.253.35:8003/rtp/226.0.1.141:2018
CCTV-3,http://171.116.216.113:10010/rtp/226.0.1.141:2018
CCTV-3,http://58.48.104.134:4022/rtp/239.69.1.122:10370
CCTV-3,http://60.223.72.127:8001/rtp/226.0.1.141:2018
CCTV-3,http://59.173.120.39:4022/rtp/239.69.1.122:10370
CCTV-4,http://27.41.245.32:801/hls/4/index.m3u8
CCTV-4,https://httop.top/hrtn-cctv4
CCTV-4,http://113.25.105.156:10000/rtp/239.1.1.10:8010
CCTV-4,http://www.520345.xyz:8188/rtp/239.69.1.232:11034
CCTV-4,http://121.29.141.15:4022/rtp/239.253.92.251:6141
CCTV-4,http://60.223.72.127:8001/rtp/226.0.1.160:2019
CCTV-4,http://58.48.104.134:4022/rtp/239.69.1.231:11028
CCTV-4,http://59.173.120.39:4022/rtp/239.69.1.138:10466
CCTV-4,http://116.179.149.157:6000/rtp/226.0.2.156:9160
CCTV-4,http://171.116.216.113:10010/rtp/226.0.1.160:2019
CCTV-5,http://27.41.245.32:801/hls/5/index.m3u8
CCTV-5,https://httop.top/hrtn-cctv5
CCTV-5,http://183.220.107.138:4022/rtp/239.11.0.241:5140
CCTV-5,http://113.25.105.156:10000/rtp/239.1.1.11:8011
CCTV-5,http://121.29.141.15:4022/rtp/239.253.92.181:6046
CCTV-5,http://61.134.253.35:8001/rtp/226.0.1.135:2020
CCTV-5,http://58.48.104.134:4022/rtp/239.69.1.123:10376
CCTV-5,http://171.116.216.113:10010/rtp/226.0.1.135:2020
CCTV-5,http://60.223.72.127:8001/rtp/226.0.1.135:2020
CCTV-5,http://116.179.149.157:6000/rtp/226.0.2.209:9584
CCTV-5+,https://httop.top/hrtn-cctv5+
CCTV-5+,http://116.179.149.157:6000/rtp/226.0.2.168:9256
CCTV-6,http://27.41.245.32:801/hls/6/index.m3u8
CCTV-6,https://httop.top/hrtn-cctv6
CCTV-6,http://183.220.107.138:4022/rtp/239.11.0.102:5140
CCTV-6,http://121.29.141.15:4022/rtp/239.253.92.193:6058
CCTV-6,http://59.173.120.39:4022/rtp/239.69.1.124:10382
CCTV-6,http://116.179.149.157:6000/rtp/226.0.2.210:9592
CCTV-6,http://171.116.216.113:10010/rtp/226.0.1.137:2021
CCTV-6,http://60.223.72.127:8001/rtp/226.0.1.137:2021
CCTV-6,http://118.79.12.62:6001/rtp/226.0.1.137:2021
CCTV-6,http://61.134.253.35:8003/rtp/226.0.1.137:2021
CCTV-7,http://27.41.245.32:801/hls/7/index.m3u8
CCTV-7,https://httop.top/hrtn-cctv7
CCTV-7,http://121.29.141.15:4022/rtp/239.253.92.194:6059
CCTV-7,http://61.134.253.35:8001/rtp/226.0.1.163:3097
CCTV-7,http://171.116.216.113:10010/rtp/226.0.1.163:3097
CCTV-7,http://118.79.12.65:6001/rtp/226.0.2.159:9184
CCTV-7,http://118.79.12.62:6000/rtp/226.0.1.163:3097
CCTV-7,http://116.179.149.157:6000/rtp/226.0.2.159:9184
CCTV-7,http://60.223.72.127:8001/rtp/226.0.1.163:3097
CCTV-7,http://59.173.120.39:4022/rtp/239.69.1.103:10256
CCTV-8,http://27.41.245.32:801/hls/8/index.m3u8
CCTV-8,https://httop.top/hrtn-cctv8
CCTV-8,http://113.25.105.156:10000/rtp/239.1.1.15:8015
CCTV-8,http://121.29.141.15:4022/rtp/239.253.92.195:6060
CCTV-8,http://118.79.12.62:6000/rtp/226.0.2.211:9600
CCTV-8,http://171.116.216.113:10010/rtp/226.0.1.140:2023
CCTV-8,http://61.134.253.35:8003/rtp/226.0.1.140:2023
CCTV-8,http://116.179.149.157:6000/rtp/226.0.2.211:9600
CCTV-8,http://59.173.120.39:4022/rtp/239.69.1.125:10388
CCTV-8,http://118.79.12.65:6000/rtp/226.0.2.211:9600
CCTV-9,http://27.41.245.32:801/hls/9/index.m3u8
CCTV-9,http://183.220.107.138:4022/rtp/239.11.0.111:5140
CCTV-9,http://121.29.141.15:4022/rtp/239.253.92.107:6020
CCTV-9,http://118.79.12.65:6000/rtp/226.0.1.165:3093
CCTV-9,http://171.116.216.113:10010/rtp/226.0.1.165:3093
CCTV-9,http://118.79.12.62:6001/rtp/226.0.1.165:3093
CCTV-9,http://116.179.149.157:6000/rtp/226.0.2.161:9200
CCTV-9,http://60.223.72.127:8001/rtp/226.0.1.165:3093
CCTV-9,http://61.134.253.35:8001/rtp/226.0.1.165:3093
CCTV-9,http://59.173.120.39:4022/rtp/239.69.1.104:10262
CCTV-10,http://27.41.245.32:801/hls/10/index.m3u8
CCTV-10,https://httop.top/hrtn-cctv10
CCTV-10,http://183.220.107.138:4022/rtp/239.11.0.112:5140
CCTV-10,http://113.25.105.156:10000/rtp/239.1.1.17:8017
CCTV-10,http://171.116.216.113:10010/rtp/226.0.1.166:3099
CCTV-10,http://118.79.12.62:6000/rtp/226.0.1.166:3099
CCTV-10,http://121.29.141.15:4022/rtp/239.253.92.196:6061
CCTV-10,http://118.79.12.65:6001/rtp/226.0.1.166:3099
CCTV-10,http://59.173.120.39:4022/rtp/239.69.1.105:10268
CCTV-10,http://60.223.72.127:8001/rtp/226.0.1.166:3099
CCTV-11,http://121.29.141.15:4022/rtp/239.253.93.153:6321
CCTV-11,http://116.179.149.157:6000/rtp/226.0.2.28:8136
CCTV-11,http://59.173.120.39:4022/rtp/239.69.1.154:10560
CCTV-11,http://183.220.107.138:4022/rtp/239.11.0.22:5140
CCTV-12,http://27.41.245.32:801/hls/12/index.m3u8
CCTV-12,https://httop.top/hrtn-cctv12
CCTV-12,http://183.220.107.138:4022/rtp/239.11.0.113:5140
