🕘️更新时间,#genre#
2025-10-21 06:40:44,http://117.174.25.254:8188/rtp/239.0.0.10:5140

📺央视频道,#genre#
CCTV-1,http://117.174.25.254:8188/rtp/239.0.0.10:5140
CCTV-1,http://live1.hrtn.net/live/cctv1hd_3000.m3u8?auth_key=1761096126-247724dfa8cf3b3bf5b1f1ac6c216a35-0-9eb7ddbe97cf4d8948e38aa0f3b7b66a
CCTV-1,http://8.138.7.223/tv/hot.php?id=1
CCTV-1,http://115.171.216.75:4000/rtp/225.1.8.81:8176
CCTV-1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33
CCTV-1,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
CCTV-1,https://www.freetv.top/migu/608807420.m3u8?migutoken=5b04cf0d91179ab2d3d71703f0a8bc3d32dd02f7d8fb55ee70e05c216b8a9d1a73d911fbde798459fb66d94934157c996f8306c0dd37917775f2ed73dcc22cf84b25ca500bff5c636ff48d6344
CCTV-1,https://smart.pendy.dpdns.org/Smart.php?id=cctv1
CCTV-1,http://[2409:8087:1:20:20::29]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?servicetype=1&accountinfo=%7E%7EV2.0%7EI0Rkc6neBYgfpoJ1yud8Fw%7EPepnxHHB2d6Hk2dZWM77MyFlBN5q1KnYLvimM9pqT7Epd7QgO4HFWH0z34SUb2Vs%7EExtInfo9bj61dxzlMXrsixrqcFYPg%3A20240420192714%2C%2C%2C20240420192714%2C%2C10001000275495%2C-1%2C0%2C1%2C-1%2C%2C2%2C2201300%2C%2C%2C2%2C%2C%2CEND&GuardEncType=2
CCTV-1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/1.m3u8?icpid=88888888&from=1&hms_devid=1012&vqe=3
CCTV-2,http://117.174.25.254:8188/rtp/239.0.0.11:5140
CCTV-2,http://115.171.216.75:4000/rtp/225.1.8.2:8084
CCTV-2,http://live1.hrtn.net/live/cctv2hd_3000.m3u8?auth_key=1761096126-6686b73b89249eb3c35d91d9be3ddd06-0-0cd3b6aa0dde00848b3c26fdcacab2b9
CCTV-2,http://8.138.7.223/tv/hot.php?id=2
CCTV-2,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225588
CCTV-2,http://goo.bkpcp.top/mg/CCTV2
CCTV-2,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8
CCTV-2,https://smart.pendy.dpdns.org/Smart.php?id=cctv2
CCTV-2,http://[2409:8087:1a01:df::406f]:80/wh7f454c46tw1241164675_1575082505/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8?icpid=88888888&RTS=1713968070&from=4&hms_devid=692&prioritypopid=4&online=1713968070&vqe=3
CCTV-2,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8
CCTV-3,http://115.171.216.75:4000/rtp/225.1.8.88:8000
CCTV-3,http://117.174.25.254:8188/rtp/239.0.0.12:5140
